age,poids,taille,sexe,type_regime,poids_cible,depense,mois
35,228,187,0,1,106,239,4
41,237,160,0,1,132,367,4
15,143,204,0,1,61,368,5
17,166,166,0,1,196,548,2
45,73,191,0,1,147,350,5
52,246,163,0,1,69,516,2
41,167,175,0,1,181,593,5
37,210,210,0,1,111,561,5
18,186,164,0,1,138,208,1
39,166,178,0,1,166,320,5
57,147,178,0,1,78,541,1
56,88,188,0,1,102,520,2
42,235,201,0,1,157,394,5
65,140,201,0,1,169,539,1
57,212,176,0,1,197,315,4
17,90,173,0,1,145,295,3
16,56,196,0,1,119,395,3
58,158,152,0,1,102,600,2
65,204,176,0,1,180,272,5
27,235,155,0,1,162,393,5
19,223,203,0,1,177,364,5
65,206,208,0,1,82,354,4
49,121,150,0,1,93,365,5
26,63,189,0,1,141,380,3
23,184,207,0,1,131,320,2
25,58,180,0,1,145,341,3
67,84,154,0,1,118,503,4
30,233,183,0,1,108,328,4
53,145,175,0,1,154,429,5
24,129,190,0,1,180,507,4
36,176,174,0,1,172,519,1
46,71,166,0,1,63,266,3
37,71,160,0,1,165,227,5
36,182,179,0,1,110,432,1
65,161,179,0,1,106,232,3
70,164,191,0,1,177,319,4
21,159,151,0,1,52,379,4
42,232,173,0,1,90,340,1
29,90,207,0,1,168,497,4
40,112,169,0,1,150,441,4
36,159,188,0,1,103,244,1
48,69,178,0,1,90,205,3
45,215,181,0,1,148,394,5
59,216,188,0,1,69,297,5
28,87,189,0,1,168,469,1
25,220,154,0,1,194,386,5
15,107,195,0,1,143,221,1
26,77,166,0,1,122,454,4
53,205,184,0,1,137,557,5
25,178,193,0,1,121,425,4
30,152,196,0,1,67,380,2
53,222,173,0,1,82,542,1
36,155,198,0,1,85,273,2
53,93,203,0,1,87,260,2
26,177,188,0,1,138,269,1
64,50,204,0,1,99,561,2
17,164,171,0,1,155,496,5
29,175,208,0,1,60,490,3
46,171,184,0,1,156,598,2
18,63,179,0,1,108,300,5
29,183,203,0,1,177,433,2
46,127,196,0,1,98,467,4
17,94,174,0,1,74,378,4
22,162,154,0,1,150,281,4
32,50,169,0,1,129,545,2
18,117,167,0,1,98,266,5
29,112,159,0,1,156,422,2
24,227,179,0,1,150,306,2
68,196,184,0,1,61,473,1
21,148,155,0,1,103,233,3
66,74,181,0,1,185,428,5
58,175,191,0,1,75,375,4
67,232,204,0,1,129,217,3
31,158,190,0,1,151,578,3
23,61,201,0,1,146,460,1
57,208,197,0,1,84,283,1
35,176,165,0,1,82,223,4
60,96,164,0,1,87,290,1
22,230,164,0,1,55,225,3
59,53,177,0,1,157,533,5
47,176,185,0,1,194,578,4
63,215,173,0,1,200,588,1
26,138,182,0,1,53,538,3
16,237,209,0,1,51,451,3
61,183,181,0,1,182,206,1
46,130,178,0,1,138,248,5
59,113,163,0,1,128,294,4
45,121,193,0,1,121,571,4
23,161,207,0,1,138,554,4
40,70,159,0,1,68,314,2
28,68,172,0,1,125,225,1
22,100,156,0,1,149,317,4
41,146,174,0,1,81,332,1
69,143,203,0,1,147,549,3
21,137,183,0,1,94,485,3
24,130,199,0,1,52,593,3
44,213,194,0,1,65,446,1
64,178,184,0,1,112,336,2
69,185,162,0,1,121,402,4
38,175,175,0,1,161,508,2
18,222,176,0,1,88,544,4
23,231,156,0,1,98,267,3
65,206,156,0,1,132,485,1
66,55,201,0,1,181,461,5
67,227,194,0,1,171,594,2
45,159,179,0,1,79,373,1
51,174,177,0,1,80,338,1
38,174,210,0,1,130,500,4
33,156,192,0,1,79,386,3
42,69,190,0,1,150,552,2
60,218,194,0,1,152,561,3
49,235,154,0,1,100,230,1
65,204,203,0,1,132,334,1
48,122,205,0,1,195,242,2
18,148,182,0,1,51,563,2
28,126,150,0,1,147,410,1
62,105,161,0,1,165,558,2
65,176,167,0,1,54,272,2
56,207,200,0,1,97,405,1
33,99,153,0,1,136,344,1
51,199,195,0,1,151,533,1
25,94,189,0,1,181,530,3
45,171,209,0,1,142,589,4
66,212,185,0,1,194,222,3
39,139,169,0,1,145,440,2
21,176,165,0,1,91,420,4
42,206,204,0,1,200,325,4
51,217,178,0,1,103,427,2
46,203,154,0,1,130,304,4
65,115,155,0,1,179,371,1
30,177,209,0,1,164,488,4
24,166,175,0,1,141,579,5
24,130,190,0,1,185,527,3
27,92,162,0,1,125,367,3
31,80,196,0,1,184,343,2
43,60,158,0,1,122,379,5
46,225,157,0,1,54,424,2
27,141,162,0,1,60,424,5
65,193,171,0,1,59,442,2
69,195,190,0,1,93,381,2
52,192,189,0,1,175,454,2
28,80,185,0,1,76,574,5
32,54,152,0,1,183,511,4
62,148,206,0,1,109,389,1
59,232,160,0,1,90,365,5
43,224,189,0,1,171,256,1
48,189,155,0,1,180,441,2
24,171,168,0,1,53,538,4
22,189,178,0,1,156,307,1
23,167,197,0,1,179,528,4
15,137,186,0,1,78,274,2
19,125,151,0,1,173,472,3
38,55,187,0,1,109,472,4
19,213,158,0,1,140,418,3
33,155,157,0,1,177,295,1
23,68,174,0,1,92,327,4
67,212,159,0,1,60,351,4
55,142,203,0,1,175,256,2
29,105,174,0,1,138,580,2
52,164,179,0,1,140,446,1
15,116,181,0,1,91,389,5
33,94,188,0,1,142,570,2
57,247,194,0,1,185,290,5
62,167,191,0,1,53,533,4
43,76,197,0,1,67,207,5
45,59,192,0,1,63,224,2
31,143,162,0,1,90,373,2
19,171,166,0,1,62,427,2
26,71,165,0,1,91,367,5
54,50,151,0,1,54,444,2
38,125,210,0,1,118,442,2
63,160,193,0,1,61,405,1
22,185,202,0,1,178,450,4
16,100,204,0,1,108,361,3
59,137,189,0,1,135,371,4
46,130,184,0,1,158,213,2
21,139,187,0,1,115,577,4
16,239,191,0,1,171,596,5
68,205,183,0,1,81,339,4
52,73,205,0,1,150,368,2
59,224,164,0,1,82,538,2
56,238,210,0,1,175,411,1
63,193,187,0,1,167,415,2
28,227,204,0,1,60,454,3
23,205,190,0,1,73,359,4
27,197,183,0,1,168,309,3
25,212,179,0,1,85,425,5
20,246,202,0,1,197,296,5
23,70,169,0,1,131,370,5
39,139,180,0,1,179,384,4
16,128,202,0,1,72,386,2
43,113,158,0,1,196,352,4
39,215,188,0,1,52,477,5
40,169,187,0,1,150,561,3
37,215,196,0,1,123,535,5
17,120,153,0,1,183,534,4
49,139,195,0,1,178,517,4
47,56,159,0,1,178,501,4
66,97,161,0,1,122,443,1
41,215,151,0,1,56,545,1
53,107,184,0,1,141,307,3
15,73,210,0,1,170,419,1
62,235,183,0,1,135,403,4
38,205,160,0,1,194,318,2
19,80,210,0,1,76,375,4
70,50,185,0,1,163,543,2
45,148,158,0,1,165,479,3
62,101,177,0,1,158,395,2
68,65,190,0,1,169,219,5
49,95,169,0,1,153,469,5
30,91,175,0,1,67,484,4
28,124,194,0,1,96,320,5
65,233,200,0,1,92,276,1
53,136,209,0,1,101,240,1
30,146,205,0,1,147,581,2
46,54,180,0,1,125,488,5
49,169,192,0,1,171,559,3
38,223,197,0,1,176,219,4
62,151,174,0,1,139,373,5
23,148,171,0,1,182,324,2
41,58,155,0,1,103,595,5
68,129,155,0,1,111,303,4
55,151,164,0,1,169,268,4
60,153,193,0,1,76,239,3
57,202,174,0,1,178,398,2
