age,poids,taille,sexe,type_regime,kcal_cible,nb_repas_cible
15,240,163,0,0,2369,1
23,151,206,0,0,2221,1
62,221,193,0,0,1959,2
52,244,194,0,0,2479,2
45,79,153,0,0,1829,3
17,163,202,0,0,2389,2
65,163,201,0,0,1832,1
50,198,161,0,0,2385,1
38,250,208,0,0,2550,1
70,194,162,0,0,2379,2
31,155,171,0,0,2503,1
23,226,177,0,0,1769,2
30,123,206,0,0,2252,3
41,178,151,0,0,2569,2
59,116,169,0,0,2184,2
37,112,154,0,0,2586,2
67,171,189,0,0,1956,1
22,233,199,0,0,2432,1
53,115,194,0,0,1976,2
54,159,162,0,0,2446,1
29,214,161,0,0,2303,2
22,53,165,0,0,2048,2
40,130,172,0,0,1989,2
57,113,202,0,0,2513,3
46,213,171,0,0,2035,2
22,51,201,0,0,2331,1
24,113,210,0,0,2506,3
64,208,185,0,0,2074,2
58,87,158,0,0,2403,3
37,89,194,0,0,2247,2
17,65,206,0,0,1946,2
30,108,195,0,0,1815,1
44,219,165,0,0,2291,1
29,187,164,0,0,1865,2
70,167,159,0,0,2202,3
54,143,208,0,0,2513,3
22,178,161,0,0,2051,3
17,91,180,0,0,1845,3
70,230,153,0,0,1822,1
39,113,160,0,0,2523,1
30,204,154,0,0,2359,1
55,67,174,0,0,2563,3
53,241,180,0,0,2442,3
58,108,163,0,0,1783,3
31,228,161,0,0,2447,3
45,229,198,0,0,2128,1
69,65,168,0,0,2179,3
42,247,158,0,0,2429,3
28,247,166,0,0,2109,1
27,121,172,0,0,2579,2
37,68,159,0,0,2281,3
55,234,172,0,0,2307,1
66,101,193,0,0,1976,1
46,62,174,0,0,1904,2
53,73,192,0,0,2377,2
61,85,151,0,0,1928,1
58,165,160,0,0,1875,2
52,216,177,0,0,2247,1
29,239,181,0,0,2386,3
66,155,186,0,0,2586,3
35,134,182,0,0,2491,3
21,179,155,0,0,1927,2
61,249,186,0,0,2296,2
31,172,180,0,0,1985,1
39,220,195,0,0,2318,3
50,237,172,0,0,2546,1
48,105,204,0,0,1972,2
44,140,177,0,0,2277,3
22,224,188,0,0,2378,1
37,153,190,0,0,2511,2
58,73,162,0,0,1938,3
47,84,180,0,0,2101,3
48,241,199,0,0,2494,1
47,241,199,0,0,1783,2
58,209,194,0,0,2595,3
27,236,150,0,0,1840,2
45,159,210,0,0,2105,2
47,158,191,0,0,2274,3
28,250,170,0,0,2334,2
54,235,176,0,0,2513,1
43,208,172,0,0,2452,3
23,180,188,0,0,2568,3
49,193,178,0,0,2034,2
61,54,203,0,0,2299,2
20,150,193,0,0,1969,1
24,68,151,0,0,2175,2
27,67,194,0,0,1944,1
35,189,200,0,0,2057,2
59,144,195,0,0,1925,3
69,202,168,0,0,2554,2
46,226,189,0,0,1764,3
22,217,168,0,0,1883,3
18,244,203,0,0,2270,2
70,99,169,0,0,1881,1
46,193,175,0,0,2270,2
44,216,196,0,0,2126,1
61,78,170,0,0,2069,2
19,67,151,0,0,2128,1
30,245,158,0,0,1952,2
63,121,184,0,0,2154,1
41,165,179,0,0,2161,2
30,62,160,0,0,2081,2
18,201,194,0,0,2015,2
45,167,164,0,0,2048,2
65,103,204,0,0,2315,1
44,200,172,0,0,2024,1
27,173,183,0,0,2147,2
69,205,158,0,0,2175,1
15,126,175,0,0,2197,2
64,160,200,0,0,2484,3
43,65,170,0,0,2452,3
41,95,210,0,0,2446,2
30,190,189,0,0,1853,1
45,227,182,0,0,1804,1
43,223,164,0,0,2406,1
44,173,204,0,0,2127,1
53,174,157,0,0,2299,3
62,238,167,0,0,1900,3
15,122,166,0,0,2151,1
55,65,192,0,0,2303,1
66,206,205,0,0,2457,1
51,150,197,0,0,2408,1
42,205,199,0,0,2437,2
54,54,197,0,0,2437,3
15,65,190,0,0,2521,2
39,242,177,0,0,2453,2
61,198,206,0,0,2419,3
42,237,168,0,0,2268,1
19,170,155,0,0,2528,1
64,211,150,0,0,2574,2
67,236,174,0,0,2165,1
20,239,166,0,0,2131,2
37,78,193,0,0,1889,3
25,195,157,0,0,2354,2
30,143,186,0,0,2449,1
64,224,176,0,0,1980,1
43,246,181,0,0,2021,3
21,66,171,0,0,2367,3
48,50,208,0,0,2533,1
31,75,170,0,0,2447,2
65,148,178,0,0,1963,2
26,108,177,0,0,1767,1
51,189,172,0,0,1903,2
70,145,151,0,0,2151,1
44,217,162,0,0,2473,1
50,95,198,0,0,2181,3
42,52,172,0,0,2312,2
41,208,151,0,0,1960,2
39,150,165,0,0,1809,2
55,226,161,0,0,2086,1
50,100,199,0,0,2175,3
29,90,174,0,0,1832,3
38,137,171,0,0,2253,2
27,87,164,0,0,2420,3
54,116,201,0,0,2150,1
52,249,196,0,0,2378,3
70,178,153,0,0,2546,1
16,201,194,0,0,1855,3
30,116,187,0,0,2445,1
40,169,199,0,0,2342,2
20,167,159,0,0,2077,2
22,235,169,0,0,2426,3
16,72,154,0,0,2542,2
21,99,208,0,0,2043,2
53,179,193,0,0,2129,3
42,153,179,0,0,2249,3
19,78,196,0,0,2134,2
16,109,163,0,0,2062,2
39,101,154,0,0,2363,3
17,64,158,0,0,2354,2
49,197,151,0,0,1931,2
65,168,175,0,0,2528,3
33,218,173,0,0,2036,1
61,70,188,0,0,2461,1
20,140,186,0,0,1898,2
66,231,166,0,0,1795,2
66,149,172,0,0,2565,1
54,62,170,0,0,2155,2
52,63,204,0,0,2486,3
49,111,199,0,0,2396,2
15,63,155,0,0,2529,2
40,123,152,0,0,2453,3
36,245,153,0,0,1816,2
45,105,204,0,0,2345,3
28,172,206,0,0,2123,1
47,230,189,0,0,2581,3
28,187,171,0,0,1976,3
44,198,169,0,0,2476,1
38,188,210,0,0,2192,2
27,62,163,0,0,1961,2
42,151,201,0,0,2365,1
36,246,178,0,0,2114,1
41,163,197,0,0,2270,1
33,145,203,0,0,2193,1
21,87,188,0,0,2339,2
50,191,176,0,0,1963,2
65,248,176,0,0,1944,3
16,80,210,0,0,2070,3
62,214,166,0,0,2487,2
38,248,173,0,0,2333,2
44,162,207,0,0,2327,3
60,229,152,0,0,1999,1
