age,poids,taille,sexe,type_regime,kcal_cible,nb_repas_cible
37,169,191,0,0,2304,3
69,157,165,0,0,2398,1
66,67,201,0,0,1836,3
44,166,162,0,0,2207,2
46,221,156,0,0,2176,1
25,185,183,0,0,2093,3
22,73,163,0,0,2375,2
56,138,176,0,0,2335,2
64,125,156,0,0,1881,3
20,209,195,0,0,2529,3
54,140,200,0,0,2043,3
35,106,185,0,0,2578,3
50,118,201,0,0,2529,1
65,124,190,0,0,1792,2
26,78,179,0,0,2325,2
44,213,180,0,0,2196,1
29,56,153,0,0,1802,2
48,162,175,0,0,2371,1
41,144,188,0,0,2373,1
16,184,183,0,0,2537,2
50,164,189,0,0,1890,1
15,57,165,0,0,1914,1
56,126,192,0,0,1797,3
28,246,178,0,0,2173,3
70,80,194,0,0,2008,2
28,184,158,0,0,2030,3
38,150,154,0,0,2139,2
34,151,191,0,0,2092,3
46,222,153,0,0,2268,1
68,147,186,0,0,2189,3
53,241,162,0,0,1811,1
39,238,178,0,0,2302,2
56,241,200,0,0,1840,3
16,234,168,0,0,1942,1
50,166,210,0,0,2092,3
38,194,208,0,0,1823,1
56,136,174,0,0,2447,1
55,56,207,0,0,2044,1
64,73,171,0,0,2526,1
67,163,202,0,0,1841,2
45,90,162,0,0,2112,2
27,220,184,0,0,1866,2
39,156,174,0,0,2383,3
70,114,200,0,0,2099,3
20,250,196,0,0,2534,1
63,148,159,0,0,2522,3
66,120,206,0,0,1853,3
61,229,203,0,0,2333,1
65,109,203,0,0,2375,3
37,72,167,0,0,2291,2
39,205,208,0,0,2244,3
35,241,152,0,0,2406,2
41,184,198,0,0,2185,1
69,196,186,0,0,2409,2
45,130,203,0,0,2187,3
46,173,182,0,0,2418,3
62,112,204,0,0,2075,2
35,54,155,0,0,1948,1
46,63,150,0,0,2161,2
46,154,194,0,0,2378,2
18,110,183,0,0,2506,2
66,225,167,0,0,2367,2
67,86,153,0,0,2098,2
43,81,163,0,0,1835,3
59,80,184,0,0,2010,3
47,156,194,0,0,1840,1
38,141,156,0,0,2394,3
28,205,160,0,0,2315,3
53,103,152,0,0,2455,1
22,63,153,0,0,2406,1
30,59,181,0,0,2181,3
54,77,203,0,0,2197,1
50,166,184,0,0,2541,3
66,55,206,0,0,2202,3
39,242,205,0,0,1946,1
37,126,162,0,0,1829,1
64,95,160,0,0,2086,1
28,53,180,0,0,2041,2
29,68,183,0,0,2579,2
58,212,178,0,0,2053,1
34,165,158,0,0,2097,3
45,149,152,0,0,2141,2
19,247,190,0,0,2236,2
54,205,178,0,0,1838,2
63,57,151,0,0,2518,1
28,239,197,0,0,2308,2
16,224,197,0,0,2367,2
64,114,200,0,0,2023,3
35,163,191,0,0,2215,1
61,189,201,0,0,2163,2
53,100,190,0,0,2256,1
29,122,209,0,0,2034,2
57,213,162,0,0,2452,3
27,246,187,0,0,2086,1
