age,poids,taille,sexe,type_regime,kcal_cible,nb_repas_cible
41,203,173,0,1,2689,2
62,169,150,0,1,1968,2
59,165,161,0,1,3595,4
59,104,189,0,1,3863,5
18,94,164,0,1,3505,6
32,119,177,0,1,3898,4
33,59,199,0,1,3043,6
29,193,190,0,1,3560,2
32,130,201,0,1,3646,4
59,180,190,0,1,2443,2
51,199,184,0,1,2475,4
51,79,196,0,1,2985,6
53,145,201,0,1,2157,6
58,78,150,0,1,1931,3
31,224,163,0,1,3236,4
57,77,209,0,1,3626,2
54,166,161,0,1,4014,3
43,177,209,0,1,3216,4
69,60,193,0,1,2212,5
16,136,150,0,1,2438,4
26,131,169,0,1,3834,3
53,190,197,0,1,3428,3
33,179,151,0,1,2693,5
58,55,166,0,1,1941,3
67,216,155,0,1,3684,2
51,91,192,0,1,2808,3
69,104,177,0,1,3480,5
30,234,175,0,1,2724,6
49,156,157,0,1,2714,5
22,141,199,0,1,2439,5
31,186,163,0,1,3065,6
23,151,157,0,1,2623,5
66,100,152,0,1,3157,5
69,138,208,0,1,3505,6
54,134,164,0,1,2390,6
28,180,192,0,1,2748,6
60,242,210,0,1,3112,5
22,104,156,0,1,3954,4
54,70,183,0,1,2424,3
41,140,205,0,1,3678,3
42,212,184,0,1,2879,5
48,128,197,0,1,3510,4
21,121,169,0,1,2194,6
28,229,167,0,1,2507,3
45,109,185,0,1,3081,4
70,198,151,0,1,2437,4
51,157,190,0,1,2889,5
50,188,198,0,1,2798,5
24,70,167,0,1,3189,6
52,173,192,0,1,3932,5
17,108,154,0,1,3159,5
29,99,202,0,1,2496,5
69,226,176,0,1,3646,2
52,221,171,0,1,2692,4
63,227,172,0,1,3319,4
53,233,206,0,1,2924,3
50,116,207,0,1,3517,3
68,86,197,0,1,3390,2
45,236,200,0,1,2995,6
25,184,190,0,1,2485,6
32,175,151,0,1,3800,5
60,146,196,0,1,3270,2
59,213,204,0,1,2307,6
19,163,197,0,1,3374,2
23,217,189,0,1,2455,5
35,122,177,0,1,3288,4
16,102,163,0,1,3426,3
22,93,201,0,1,3733,6
29,120,204,0,1,3736,6
54,231,163,0,1,2335,6
55,209,163,0,1,2994,6
61,171,160,0,1,3178,6
20,149,153,0,1,2063,6
18,63,160,0,1,3331,5
15,181,173,0,1,2541,5
37,127,203,0,1,3581,2
37,86,180,0,1,2320,2
66,158,163,0,1,2543,5
66,213,197,0,1,2722,6
51,138,153,0,1,3359,2
51,101,198,0,1,3006,3
31,131,193,0,1,3039,3
65,106,183,0,1,2590,2
28,64,191,0,1,4045,4
70,222,170,0,1,2142,5
19,201,152,0,1,2294,5
63,87,165,0,1,4152,3
60,180,178,0,1,3697,3
68,102,180,0,1,3658,4
41,106,190,0,1,2245,3
55,61,182,0,1,3181,3
55,192,173,0,1,2890,6
57,221,171,0,1,3743,3
44,122,196,0,1,3429,5
21,223,150,0,1,2686,4
48,123,165,0,1,2811,2
48,55,158,0,1,4065,5
38,55,170,0,1,2771,3
43,58,200,0,1,4103,3
58,217,159,0,1,2512,6
60,161,177,0,1,3811,3
36,214,204,0,1,2896,4
37,93,198,0,1,3475,6
29,142,191,0,1,2397,3
37,62,168,0,1,3915,3
68,81,164,0,1,3403,5
27,193,171,0,1,3161,4
26,63,182,0,1,3894,4
66,106,153,0,1,2777,2
69,231,170,0,1,2803,2
63,243,162,0,1,2010,5
36,244,180,0,1,2386,5
17,178,164,0,1,2886,6
62,217,167,0,1,3826,4
62,186,164,0,1,2341,4
47,174,173,0,1,3310,2
25,196,183,0,1,3111,6
54,214,164,0,1,3757,6
59,188,195,0,1,3815,3
55,147,174,0,1,4143,6
31,151,179,0,1,2960,4
35,159,186,0,1,3743,2
59,166,162,0,1,1924,5
29,77,199,0,1,3224,5
70,235,175,0,1,2086,6
58,210,182,0,1,3494,3
64,238,162,0,1,2248,5
27,241,194,0,1,3181,2
25,173,154,0,1,3297,6
39,101,159,0,1,4090,2
38,137,169,0,1,4069,5
54,223,196,0,1,3541,6
30,135,165,0,1,3943,3
27,69,195,0,1,2654,5
70,246,199,0,1,2345,3
28,110,154,0,1,2991,6
39,122,169,0,1,2108,4
62,188,188,0,1,3770,4
56,166,183,0,1,2401,4
24,198,182,0,1,2969,3
40,55,181,0,1,3279,4
55,165,189,0,1,3610,6
53,238,193,0,1,2353,4
39,237,188,0,1,3785,5
67,146,174,0,1,2170,2
50,130,202,0,1,2846,2
35,208,177,0,1,3300,6
70,217,168,0,1,3013,2
49,89,173,0,1,2762,4
37,67,209,0,1,2727,3
29,219,197,0,1,2009,5
25,239,190,0,1,3477,6
60,219,195,0,1,2716,3
50,55,184,0,1,4026,5
61,85,205,0,1,3762,2
56,78,180,0,1,2615,2
19,182,205,0,1,3797,6
57,131,191,0,1,2684,5
34,188,187,0,1,3959,3
41,91,184,0,1,3271,2
46,248,196,0,1,3717,5
56,74,192,0,1,4158,3
66,78,157,0,1,3485,6
26,188,198,0,1,3865,5
68,246,156,0,1,2617,4
37,248,199,0,1,2581,5
38,237,174,0,1,3290,2
31,172,174,0,1,2159,5
