age,poids,taille,sexe,type_regime,poids_cible,depense,mois
61,247,181,1,1,189,529,1
45,235,205,1,1,59,563,4
57,196,175,1,1,193,453,1
59,65,189,1,1,127,416,1
41,246,190,1,1,57,562,2
55,68,181,1,1,145,420,2
44,134,206,1,1,156,362,5
69,178,175,1,1,113,252,4
44,186,179,1,1,192,258,4
15,156,208,1,1,114,348,1
36,188,171,1,1,78,326,2
53,229,167,1,1,72,337,2
56,79,180,1,1,96,216,4
62,91,171,1,1,100,308,4
18,168,179,1,1,148,372,3
36,59,177,1,1,93,265,2
65,175,186,1,1,159,552,2
44,248,155,1,1,127,349,1
43,50,173,1,1,63,222,4
64,143,198,1,1,51,204,2
18,68,157,1,1,71,587,4
59,205,152,1,1,96,362,1
27,194,150,1,1,113,293,3
57,247,199,1,1,137,269,1
68,123,160,1,1,73,550,4
49,116,192,1,1,162,310,2
21,232,163,1,1,81,328,1
33,220,171,1,1,174,437,4
38,82,171,1,1,89,358,1
65,113,184,1,1,67,318,1
48,108,202,1,1,122,564,3
26,67,155,1,1,102,322,3
20,224,180,1,1,118,202,3
45,177,187,1,1,68,293,1
40,169,200,1,1,64,538,2
60,110,202,1,1,105,575,1
58,216,179,1,1,65,438,1
50,210,178,1,1,164,444,5
48,159,163,1,1,113,544,1
63,144,199,1,1,176,504,4
59,61,189,1,1,152,598,4
58,201,189,1,1,162,309,1
29,169,185,1,1,181,414,5
19,224,164,1,1,79,209,1
15,117,165,1,1,90,230,4
52,55,178,1,1,199,358,1
66,144,171,1,1,188,473,3
58,194,166,1,1,71,461,4
55,113,182,1,1,78,480,3
64,133,191,1,1,185,350,4
18,110,161,1,1,129,328,4
58,240,158,1,1,107,270,3
63,101,197,1,1,189,224,2
22,132,201,1,1,168,467,5
21,167,166,1,1,71,444,3
28,222,183,1,1,134,458,1
25,96,184,1,1,167,278,5
51,231,189,1,1,69,370,1
23,219,207,1,1,191,544,4
60,155,190,1,1,191,339,2
30,117,177,1,1,102,229,2
15,187,207,1,1,111,505,2
69,161,171,1,1,68,444,5
68,89,203,1,1,151,403,3
29,209,210,1,1,97,348,1
65,209,161,1,1,67,588,3
66,67,199,1,1,96,331,5
22,115,197,1,1,92,207,3
26,106,164,1,1,140,566,5
17,108,201,1,1,187,517,5
35,154,170,1,1,107,225,1
70,209,183,1,1,53,393,2
48,210,160,1,1,162,294,5
27,99,203,1,1,177,487,4
51,85,156,1,1,102,569,2
63,67,168,1,1,107,275,5
63,215,166,1,1,140,409,5
45,55,208,1,1,88,549,1
55,91,156,1,1,161,321,2
69,225,169,1,1,93,344,2
30,114,191,1,1,152,298,1
21,190,191,1,1,105,482,4
32,174,197,1,1,100,514,4
28,249,161,1,1,51,400,4
27,91,152,1,1,91,477,5
67,141,205,1,1,77,423,5
68,216,163,1,1,142,439,3
56,228,158,1,1,145,570,3
52,217,195,1,1,64,427,3
48,108,161,1,1,172,425,1
49,227,210,1,1,175,233,4
36,164,208,1,1,72,292,5
55,129,160,1,1,114,235,4
36,55,191,1,1,64,321,1
32,65,150,1,1,117,353,1
54,198,174,1,1,98,492,3
38,52,189,1,1,151,494,1
15,89,203,1,1,73,298,2
61,99,202,1,1,121,241,5
41,160,209,1,1,160,520,4
41,98,180,1,1,138,597,3
70,157,191,1,1,120,543,5
27,167,190,1,1,119,473,1
26,215,206,1,1,191,302,5
56,72,193,1,1,156,388,4
23,62,204,1,1,198,514,5
30,249,170,1,1,64,294,2
69,214,162,1,1,131,278,5
69,186,168,1,1,111,566,4
65,154,168,1,1,55,244,4
61,248,179,1,1,91,277,1
69,69,195,1,1,148,356,1
56,61,185,1,1,126,524,4
68,132,156,1,1,102,258,2
67,95,172,1,1,91,553,4
15,115,176,1,1,167,219,3
27,120,202,1,1,152,310,2
23,88,183,1,1,89,223,3
51,92,165,1,1,154,201,1
32,232,160,1,1,59,209,4
49,106,181,1,1,178,540,3
46,57,195,1,1,109,440,5
21,228,199,1,1,64,473,1
28,201,178,1,1,108,347,3
28,73,187,1,1,153,216,4
24,202,179,1,1,78,597,5
21,87,156,1,1,124,428,5
36,122,180,1,1,71,414,2
47,56,150,1,1,105,211,1
66,226,197,1,1,176,482,5
52,125,165,1,1,172,471,2
50,159,169,1,1,61,498,3
56,128,161,1,1,94,446,1
39,248,208,1,1,72,320,2
51,179,174,1,1,199,581,5
33,97,196,1,1,94,473,1
44,237,158,1,1,69,298,5
36,86,199,1,1,116,515,4
58,243,150,1,1,182,500,4
59,91,196,1,1,63,521,4
59,152,187,1,1,135,259,1
55,97,210,1,1,106,510,5
33,190,169,1,1,149,417,1
17,211,198,1,1,171,391,4
51,153,188,1,1,196,548,2
41,144,203,1,1,195,245,5
59,166,166,1,1,150,477,2
33,91,177,1,1,143,439,5
70,114,207,1,1,117,239,3
34,244,199,1,1,124,365,5
18,249,156,1,1,141,323,1
18,144,194,1,1,102,572,1
23,76,188,1,1,58,438,2
23,154,177,1,1,176,243,2
17,209,163,1,1,79,523,2
56,240,191,1,1,57,463,3
48,188,188,1,1,165,327,4
16,107,184,1,1,159,479,4
42,229,196,1,1,72,391,2
16,104,189,1,1,61,224,2
38,219,194,1,1,88,551,2
29,248,182,1,1,169,528,3
21,66,151,1,1,105,359,3
53,161,198,1,1,107,288,3
48,183,192,1,1,85,296,2
63,170,196,1,1,147,529,1
34,144,183,1,1,116,519,2
28,207,161,1,1,107,461,2
16,167,201,1,1,60,439,3
22,62,179,1,1,168,429,4
35,77,206,1,1,87,254,1
46,58,189,1,1,129,492,1
21,191,162,1,1,84,403,1
58,187,164,1,1,143,235,3
50,168,173,1,1,179,255,3
55,249,208,1,1,145,336,5
15,135,194,1,1,176,225,3
17,170,204,1,1,176,571,1
70,209,154,1,1,121,431,5
31,188,156,1,1,53,420,3
30,134,188,1,1,63,227,1
49,118,158,1,1,138,377,2
63,86,165,1,1,57,592,5
25,78,189,1,1,78,469,2
21,248,203,1,1,96,292,1
61,79,201,1,1,180,531,1
51,145,192,1,1,54,417,5
29,249,156,1,1,147,505,4
39,233,155,1,1,192,424,1
51,97,176,1,1,176,337,1
38,52,195,1,1,97,399,1
22,240,171,1,1,160,439,3
66,150,153,1,1,123,354,4
69,137,155,1,1,130,462,5
34,239,184,1,1,153,365,5
60,94,167,1,1,154,264,4
33,248,151,1,1,181,406,4
28,198,160,1,1,158,339,2
70,104,160,1,1,91,325,2
22,158,177,1,1,85,463,4
46,137,178,1,1,78,462,2
24,211,195,1,1,200,292,5
19,211,168,1,1,86,571,1
19,135,174,1,1,79,426,3
61,92,161,1,1,183,474,2
33,135,174,1,1,70,300,5
30,159,163,1,1,99,514,1
17,58,177,1,1,146,257,2
43,183,195,1,1,165,375,3
16,67,209,1,1,134,337,2
56,237,170,1,1,90,537,1
40,189,173,1,1,59,460,4
48,118,204,1,1,128,247,1
39,110,176,1,1,165,301,2
55,161,185,1,1,161,212,5
42,54,169,1,1,142,497,4
27,129,200,1,1,192,584,2
55,220,168,1,1,180,227,5
54,236,164,1,1,145,557,5
16,123,189,1,1,97,475,5
53,130,173,1,1,130,281,3
60,237,198,1,1,86,600,5
39,87,159,1,1,84,285,1
70,207,180,1,1,127,426,3
47,111,179,1,1,93,253,3
33,61,174,1,1,155,552,5
56,102,175,1,1,141,463,4
21,138,186,1,1,150,593,2
64,130,175,1,1,197,268,4
68,242,151,1,1,112,532,3
19,104,175,1,1,113,372,2
48,241,181,1,1,133,403,2
57,74,188,1,1,100,397,1
19,214,178,1,1,101,526,2
69,112,166,1,1,163,325,1
60,175,201,1,1,183,345,3
55,203,176,1,1,133,593,3
38,188,150,1,1,79,432,2
51,172,155,1,1,190,343,1
64,134,196,1,1,184,519,5
23,209,163,1,1,195,229,4
35,104,177,1,1,60,374,2
30,172,180,1,1,113,267,5
59,116,158,1,1,159,242,3
63,89,184,1,1,156,427,1
62,210,157,1,1,58,565,1
20,197,189,1,1,105,570,5
70,172,168,1,1,114,227,1
47,165,183,1,1,59,268,3
49,97,172,1,1,74,451,3
68,236,209,1,1,107,558,2
52,175,181,1,1,131,249,2
57,53,164,1,1,68,357,3
49,199,153,1,1,190,345,1
29,220,160,1,1,112,546,3
66,60,161,1,1,167,264,4
57,196,156,1,1,198,529,2
38,140,197,1,1,85,584,3
48,168,150,1,1,70,360,1
53,225,207,1,1,109,251,4
16,131,206,1,1,65,213,2
70,81,167,1,1,165,520,4
62,234,198,1,1,145,599,3
54,71,201,1,1,60,379,4
55,89,164,1,1,60,261,2
45,127,186,1,1,94,201,4
38,176,162,1,1,78,282,3
34,104,192,1,1,109,340,5
31,105,165,1,1,83,348,1
40,186,157,1,1,181,256,2
68,88,201,1,1,110,306,1
39,149,167,1,1,53,492,5
32,231,151,1,1,145,372,1
41,173,198,1,1,149,444,2
36,61,189,1,1,117,436,5
55,210,180,1,1,150,249,2
50,147,153,1,1,153,340,4
39,115,205,1,1,138,373,4
63,120,163,1,1,110,373,1
54,84,188,1,1,126,599,5
65,196,168,1,1,171,596,2
64,159,181,1,1,186,453,3
45,192,168,1,1,182,402,3
61,157,181,1,1,68,535,3
56,97,170,1,1,157,453,2
68,93,160,1,1,136,420,2
35,197,173,1,1,145,275,3
66,118,179,1,1,87,590,5
15,210,195,1,1,130,238,1
66,180,202,1,1,99,453,5
30,247,180,1,1,190,536,5
38,211,201,1,1,166,424,4
28,75,187,1,1,124,584,5
30,228,192,1,1,78,403,3
56,56,175,1,1,168,556,4
25,131,199,1,1,105,349,1
41,66,170,1,1,172,508,4
42,72,192,1,1,72,415,5
19,234,162,1,1,145,528,4
66,118,208,1,1,109,242,2
56,113,197,1,1,140,434,3
53,152,196,1,1,146,473,4
36,158,167,1,1,129,483,5
70,73,153,1,1,187,417,1
57,228,155,1,1,191,500,4
19,91,179,1,1,200,341,5
54,155,209,1,1,63,583,5
61,229,208,1,1,167,318,3
50,218,182,1,1,87,581,5
53,236,191,1,1,146,433,3
26,91,185,1,1,179,444,5
35,124,154,1,1,196,412,2
61,57,153,1,1,54,543,2
51,97,167,1,1,128,252,2
61,247,172,1,1,159,214,2
32,113,169,1,1,98,232,5
46,141,166,1,1,123,507,1
56,156,175,1,1,85,258,3
30,163,171,1,1,183,465,3
31,129,170,1,1,93,394,4
51,169,202,1,1,79,532,1
39,100,204,1,1,52,265,4
16,107,151,1,1,72,511,2
