age,poids,taille,sexe,type_regime,kcal_cible,nb_repas_cible
64,173,188,1,1,2021,1
17,131,198,1,1,1941,3
59,234,153,1,1,2598,1
19,247,204,1,1,2138,3
64,177,154,1,1,2414,3
47,239,184,1,1,2361,2
38,168,154,1,1,1740,3
64,136,160,1,1,2380,3
64,248,181,1,1,2588,2
41,101,185,1,1,1976,2
67,82,172,1,1,1692,2
64,141,199,1,1,1994,1
15,243,205,1,1,2065,1
58,81,210,1,1,1667,2
54,196,198,1,1,2199,2
25,242,163,1,1,2014,2
43,72,181,1,1,1863,3
27,100,174,1,1,2478,3
21,75,186,1,1,2551,3
24,141,171,1,1,2197,3
60,219,174,1,1,1994,3
28,198,177,1,1,1704,2
53,106,201,1,1,1985,1
22,216,162,1,1,2187,3
49,108,167,1,1,2124,1
19,96,153,1,1,2113,3
41,85,194,1,1,2028,3
19,211,178,1,1,2586,3
43,168,206,1,1,2516,1
60,85,201,1,1,1617,2
19,190,185,1,1,2057,1
66,237,188,1,1,2333,1
27,50,193,1,1,1826,3
60,99,192,1,1,2097,1
31,193,158,1,1,1885,3
38,81,170,1,1,2144,3
61,224,173,1,1,2396,2
19,109,185,1,1,2391,3
16,215,187,1,1,1964,3
45,96,188,1,1,2290,1
47,83,156,1,1,1805,2
32,190,167,1,1,2364,3
29,135,153,1,1,2324,3
40,78,167,1,1,2491,1
24,248,176,1,1,1757,2
60,201,210,1,1,2068,2
68,137,181,1,1,2396,2
53,196,158,1,1,1804,3
16,90,161,1,1,1641,1
62,79,188,1,1,2359,3
69,83,167,1,1,2043,3
59,101,158,1,1,2578,3
40,103,184,1,1,2589,3
42,136,154,1,1,1917,3
43,170,175,1,1,1669,3
68,196,205,1,1,2010,3
70,88,209,1,1,2082,1
40,149,175,1,1,1999,2
63,229,187,1,1,1915,1
51,175,166,1,1,2136,2
47,82,169,1,1,1810,1
15,79,154,1,1,1636,1
51,234,150,1,1,1845,1
22,170,158,1,1,2520,3
34,204,163,1,1,2278,1
62,234,182,1,1,1833,2
42,142,202,1,1,1976,3
30,195,167,1,1,2016,3
22,240,187,1,1,2406,3
34,154,192,1,1,2222,1
63,152,165,1,1,2155,1
31,204,160,1,1,1827,3
65,171,195,1,1,1669,2
36,70,172,1,1,2371,2
48,59,178,1,1,2092,3
49,120,165,1,1,1888,3
63,218,171,1,1,2545,1
66,108,193,1,1,1681,3
43,55,157,1,1,1803,2
36,135,200,1,1,2578,2
60,222,185,1,1,2001,1
16,237,200,1,1,2242,3
70,186,161,1,1,2503,2
20,172,178,1,1,2328,2
41,92,193,1,1,2550,2
37,111,183,1,1,1763,2
37,122,159,1,1,1787,1
45,103,206,1,1,2427,2
68,193,205,1,1,1869,3
22,213,193,1,1,2543,3
21,152,201,1,1,1640,3
64,180,195,1,1,2203,1
48,75,151,1,1,2439,1
64,75,197,1,1,2122,1
51,106,183,1,1,2198,1
54,68,199,1,1,2087,3
67,92,198,1,1,1835,3
28,175,183,1,1,2331,2
29,148,160,1,1,2317,1
21,228,186,1,1,1653,1
69,176,181,1,1,2301,1
34,123,158,1,1,1889,1
15,225,156,1,1,1673,3
24,52,173,1,1,2246,2
60,149,169,1,1,1754,2
50,81,204,1,1,2432,2
52,153,202,1,1,2477,3
53,113,205,1,1,1794,2
56,232,209,1,1,2069,1
30,191,194,1,1,2413,1
65,227,204,1,1,1693,3
29,248,185,1,1,2397,3
61,90,178,1,1,2370,1
41,121,177,1,1,1732,3
69,181,151,1,1,2151,3
57,207,194,1,1,2585,1
33,142,185,1,1,1640,1
16,150,192,1,1,2039,3
23,152,177,1,1,1727,1
18,157,189,1,1,2208,1
23,233,193,1,1,1872,3
58,185,202,1,1,1821,2
56,50,208,1,1,2048,2
49,176,187,1,1,2274,2
60,102,202,1,1,1718,1
23,127,203,1,1,2518,3
28,55,166,1,1,2539,2
50,149,200,1,1,2520,1
35,217,156,1,1,2508,3
20,239,179,1,1,1981,3
43,133,161,1,1,1762,3
48,61,169,1,1,1906,2
32,77,186,1,1,2382,2
70,91,165,1,1,1719,1
36,223,188,1,1,1766,2
69,236,158,1,1,2247,3
68,172,192,1,1,2116,1
29,61,188,1,1,2156,3
68,140,174,1,1,2550,3
48,80,203,1,1,1709,3
39,217,154,1,1,2461,3
41,163,199,1,1,2306,1
62,185,194,1,1,1892,1
16,247,162,1,1,1674,3
46,190,210,1,1,2503,2
46,113,203,1,1,2319,3
64,221,204,1,1,2543,2
30,185,205,1,1,1859,3
69,152,205,1,1,2238,3
29,165,193,1,1,2090,2
38,241,161,1,1,1917,2
19,77,183,1,1,1956,1
57,174,160,1,1,2176,1
35,179,154,1,1,2499,3
35,165,162,1,1,2065,3
55,189,209,1,1,1667,1
64,76,192,1,1,2159,2
48,99,175,1,1,1655,2
62,99,181,1,1,1640,1
23,147,162,1,1,1816,2
17,132,160,1,1,2452,1
53,147,154,1,1,2225,3
40,183,179,1,1,1910,1
26,197,168,1,1,2480,2
64,111,185,1,1,2525,2
36,51,191,1,1,1993,3
26,159,189,1,1,2461,3
17,231,175,1,1,2000,3
43,207,191,1,1,1629,3
63,111,179,1,1,1867,3
61,59,209,1,1,2549,1
49,62,176,1,1,2381,2
15,111,159,1,1,1856,1
36,177,150,1,1,2150,3
68,125,151,1,1,2370,1
58,128,157,1,1,2052,3
40,85,152,1,1,2458,3
64,202,170,1,1,1902,3
16,115,205,1,1,1672,1
18,183,151,1,1,1712,3
49,107,167,1,1,2438,3
48,156,181,1,1,1720,3
26,97,169,1,1,1958,2
69,134,153,1,1,1656,1
44,59,167,1,1,2201,1
29,227,175,1,1,2185,1
15,204,198,1,1,2133,1
45,182,171,1,1,2328,3
20,200,194,1,1,1868,3
34,231,183,1,1,1810,1
70,107,173,1,1,1829,1
40,204,162,1,1,2573,2
60,201,188,1,1,2119,2
23,80,173,1,1,2091,2
21,128,159,1,1,2375,3
49,109,151,1,1,2324,2
49,145,165,1,1,1702,3
22,166,166,1,1,2464,1
20,60,189,1,1,1832,1
32,164,174,1,1,2072,2
63,75,185,1,1,1815,3
20,246,173,1,1,2497,3
60,137,169,1,1,1652,3
24,122,174,1,1,1899,3
28,169,150,1,1,1792,2
69,215,209,1,1,2569,3
41,117,195,1,1,1653,3
17,165,205,1,1,1933,3
29,216,189,1,1,2229,1
47,60,156,1,1,1974,2
15,180,206,1,1,1916,1
25,116,207,1,1,2343,3
57,120,181,1,1,1881,1
55,219,188,1,1,1726,2
23,247,205,1,1,1620,1
34,192,176,1,1,1972,2
52,122,191,1,1,2484,2
59,140,183,1,1,1910,2
27,140,164,1,1,2512,2
63,226,186,1,1,2420,1
67,99,203,1,1,1689,3
30,150,190,1,1,2210,2
54,152,164,1,1,1628,1
25,207,200,1,1,1691,2
63,122,202,1,1,2304,2
68,158,169,1,1,2326,3
57,242,166,1,1,2210,3
17,156,195,1,1,2516,2
63,220,176,1,1,2484,2
52,132,152,1,1,2457,3
60,103,180,1,1,2234,2
66,139,171,1,1,2540,3
19,138,159,1,1,1897,2
68,57,168,1,1,2174,3
59,227,154,1,1,2067,2
51,100,183,1,1,2287,1
61,92,169,1,1,2007,2
42,89,173,1,1,2078,1
22,185,151,1,1,2589,3
51,82,159,1,1,2512,3
34,158,204,1,1,2375,3
29,103,162,1,1,1933,3
54,151,158,1,1,1896,3
27,139,185,1,1,2004,1
46,224,193,1,1,2002,1
15,216,174,1,1,2178,2
20,57,205,1,1,2339,1
51,132,183,1,1,2180,3
16,227,205,1,1,2315,2
59,243,161,1,1,2076,1
68,155,162,1,1,2199,1
33,100,171,1,1,2391,3
60,166,172,1,1,1979,3
66,222,152,1,1,1733,1
29,231,151,1,1,1734,3
25,170,157,1,1,1694,3
58,174,178,1,1,2157,3
46,109,189,1,1,2096,1
61,113,191,1,1,2467,3
16,125,191,1,1,1943,2
41,143,180,1,1,1738,3
67,117,151,1,1,1896,3
45,179,163,1,1,1928,1
34,250,207,1,1,2314,3
23,52,201,1,1,2079,1
64,104,202,1,1,2000,2
65,143,179,1,1,2446,2
66,103,159,1,1,1991,2
28,180,197,1,1,2283,1
52,184,188,1,1,2032,1
64,106,178,1,1,2047,1
59,69,161,1,1,2468,1
66,143,209,1,1,2186,1
28,149,200,1,1,2347,1
53,249,162,1,1,2300,3
46,141,165,1,1,1812,1
48,99,189,1,1,2007,3
70,84,201,1,1,2020,2
44,205,166,1,1,2433,3
58,224,198,1,1,1631,2
69,196,170,1,1,2488,1
19,187,174,1,1,1898,2
25,190,163,1,1,2123,2
20,71,183,1,1,2059,1
56,85,153,1,1,2575,3
45,146,152,1,1,2465,3
15,222,184,1,1,1895,3
54,152,153,1,1,2510,3
49,121,175,1,1,1782,1
57,98,154,1,1,2178,3
20,120,197,1,1,2354,2
48,115,196,1,1,1628,3
21,244,206,1,1,2453,2
61,141,179,1,1,2525,3
50,208,188,1,1,2053,1
24,103,153,1,1,2399,2
15,138,178,1,1,2339,2
61,133,185,1,1,2037,3
45,207,172,1,1,1823,2
46,112,209,1,1,1856,2
52,218,192,1,1,2520,2
26,113,151,1,1,2281,2
69,135,210,1,1,2140,3
56,147,175,1,1,2248,1
19,152,179,1,1,1927,2
65,185,195,1,1,1692,3
33,53,155,1,1,2065,2
41,236,188,1,1,2036,2
47,160,210,1,1,2030,1
41,105,168,1,1,2578,1
18,128,162,1,1,2188,3
41,62,159,1,1,2142,3
37,207,184,1,1,2300,1
38,235,172,1,1,1833,1
68,219,153,1,1,2121,1
22,172,181,1,1,1684,3
23,106,203,1,1,2177,3
16,208,203,1,1,2291,1
61,184,204,1,1,2486,1
27,107,178,1,1,2538,3
36,217,166,1,1,2110,3
29,180,192,1,1,1893,2
38,208,175,1,1,2253,3
41,132,202,1,1,2093,1
62,82,154,1,1,2434,3
17,126,198,1,1,1612,1
15,68,169,1,1,2469,2
40,243,161,1,1,1833,3
48,162,187,1,1,1930,3
57,221,198,1,1,2034,3
62,81,204,1,1,1647,1
22,199,167,1,1,2327,1
24,204,156,1,1,2169,3
34,195,191,1,1,2114,1
24,190,156,1,1,2561,1
53,96,208,1,1,2596,2
64,63,177,1,1,2041,2
25,102,197,1,1,2349,2
45,182,200,1,1,2590,3
26,236,179,1,1,1842,1
15,249,209,1,1,1955,2
22,92,152,1,1,2259,1
56,249,205,1,1,1740,3
31,119,209,1,1,2351,2
27,210,159,1,1,1912,1
44,229,161,1,1,2125,3
44,126,159,1,1,1625,3
39,140,172,1,1,2258,3
50,168,155,1,1,2575,2
27,95,187,1,1,1841,2
26,84,191,1,1,2323,1
65,187,166,1,1,1664,3
58,76,198,1,1,2356,1
28,83,193,1,1,2247,2
29,237,189,1,1,1847,3
62,240,189,1,1,2091,2
64,55,159,1,1,1748,2
32,179,150,1,1,2464,1
22,187,175,1,1,2531,2
35,247,200,1,1,2192,1
58,140,179,1,1,2385,3
16,133,198,1,1,2307,2
35,80,151,1,1,1877,2
20,234,158,1,1,2023,1
22,177,200,1,1,1883,2
36,86,168,1,1,1673,2
52,184,184,1,1,2586,2
45,236,193,1,1,2456,3
43,150,151,1,1,1913,1
63,72,186,1,1,2388,1
16,188,169,1,1,2189,3
24,121,170,1,1,1654,1
23,77,159,1,1,2448,2
26,204,160,1,1,2048,3
20,88,151,1,1,1788,1
63,129,169,1,1,1856,2
39,68,203,1,1,2336,3
18,54,189,1,1,2210,2
21,164,155,1,1,2531,2
37,231,161,1,1,1698,1
29,132,201,1,1,2384,2
36,226,192,1,1,1898,2
47,157,192,1,1,2488,1
