age,poids,taille,sexe,type_regime,kcal_cible,nb_repas_cible
30,56,205,1,1,1937,2
34,233,168,1,1,2464,1
62,153,207,1,1,2501,3
41,139,201,1,1,1957,1
55,96,170,1,1,2472,3
57,180,161,1,1,2145,2
33,54,200,1,1,2544,3
34,130,204,1,1,1967,1
65,208,158,1,1,2550,2
15,211,158,1,1,1716,2
30,199,185,1,1,2067,2
33,137,200,1,1,2507,2
35,239,201,1,1,2231,2
64,199,158,1,1,1910,1
54,206,163,1,1,1702,3
63,128,178,1,1,2595,2
18,72,209,1,1,2017,1
37,65,168,1,1,2527,3
18,128,192,1,1,2004,1
64,145,181,1,1,1945,3
54,235,178,1,1,2114,2
45,202,159,1,1,2008,2
35,197,202,1,1,1634,2
39,148,184,1,1,2563,1
31,102,161,1,1,1970,3
38,63,210,1,1,1791,1
25,51,178,1,1,2496,1
31,204,188,1,1,2289,2
40,58,180,1,1,1757,1
20,114,195,1,1,2246,1
21,139,197,1,1,2188,3
33,248,175,1,1,2273,2
68,154,150,1,1,2200,3
41,91,171,1,1,2044,1
25,103,173,1,1,2594,2
54,244,165,1,1,1978,3
39,196,199,1,1,1767,3
30,79,150,1,1,2414,1
55,80,152,1,1,2047,1
31,223,158,1,1,1874,1
31,88,173,1,1,2079,1
33,212,161,1,1,2327,3
70,53,209,1,1,1763,1
36,97,157,1,1,2414,3
19,144,184,1,1,2477,2
58,129,190,1,1,2011,2
57,191,153,1,1,2108,2
33,121,186,1,1,2102,3
43,76,177,1,1,1804,1
29,210,174,1,1,1656,3
43,83,165,1,1,2153,3
62,136,207,1,1,1882,2
19,151,152,1,1,1973,3
26,208,175,1,1,1918,2
24,102,167,1,1,2329,1
17,227,154,1,1,1752,2
28,146,209,1,1,1946,3
23,96,176,1,1,2124,3
54,107,170,1,1,2205,1
40,60,169,1,1,2265,2
43,132,159,1,1,1915,2
38,192,181,1,1,2461,3
62,138,164,1,1,2444,2
17,154,166,1,1,1943,2
44,172,176,1,1,2025,3
36,193,192,1,1,2327,2
24,67,155,1,1,2139,3
57,149,161,1,1,2577,3
40,100,199,1,1,1907,3
57,224,180,1,1,2151,3
53,204,161,1,1,2597,2
68,86,210,1,1,1889,2
26,118,160,1,1,1908,2
40,52,197,1,1,2550,2
16,238,183,1,1,2197,3
22,139,167,1,1,2220,1
23,157,155,1,1,2387,1
55,142,186,1,1,2006,3
63,60,197,1,1,1614,1
44,173,191,1,1,2516,1
16,89,174,1,1,2025,1
64,126,174,1,1,1761,3
20,55,191,1,1,1766,1
61,169,154,1,1,1834,2
15,180,161,1,1,1733,2
30,205,156,1,1,1663,2
55,232,198,1,1,2408,2
60,209,198,1,1,2593,3
44,213,161,1,1,1692,2
61,240,190,1,1,1808,2
64,195,197,1,1,1969,3
28,111,193,1,1,1772,2
36,247,173,1,1,2137,1
64,185,169,1,1,1755,1
70,154,157,1,1,1658,2
27,206,195,1,1,2510,1
22,112,161,1,1,2248,2
44,54,154,1,1,2353,3
59,175,204,1,1,2454,2
18,99,200,1,1,2426,3
47,64,171,1,1,2280,2
56,188,168,1,1,2530,3
64,114,203,1,1,1830,1
52,96,196,1,1,2112,1
41,99,191,1,1,2330,3
52,226,209,1,1,1871,3
48,71,205,1,1,1931,3
34,51,188,1,1,1650,3
18,165,201,1,1,1860,2
28,207,190,1,1,2017,2
27,50,185,1,1,1844,3
15,109,207,1,1,2456,3
25,120,206,1,1,1739,2
27,134,199,1,1,2287,3
47,59,152,1,1,1858,3
16,94,182,1,1,2350,2
50,107,157,1,1,1965,1
50,149,207,1,1,2525,3
63,175,175,1,1,1830,3
41,175,185,1,1,1897,3
18,104,181,1,1,1706,2
20,65,180,1,1,1809,3
45,231,176,1,1,1950,2
40,105,203,1,1,2496,1
63,241,172,1,1,2438,2
46,91,151,1,1,2296,1
37,216,184,1,1,1954,2
