age,poids,taille,sexe,type_regime,kcal_cible,nb_repas_cible
26,245,174,1,0,2353,4
18,126,200,1,0,4395,2
33,219,161,1,0,2015,6
53,160,153,1,0,2363,3
45,87,199,1,0,2077,2
16,118,186,1,0,3189,5
16,117,169,1,0,4594,5
48,234,201,1,0,3058,2
22,58,197,1,0,4174,2
36,105,172,1,0,3975,4
60,179,208,1,0,2580,5
35,122,198,1,0,4431,6
44,242,150,1,0,3125,6
49,149,194,1,0,2032,4
35,204,175,1,0,4473,6
47,153,209,1,0,3901,5
29,224,191,1,0,2853,5
50,96,192,1,0,2417,4
70,87,172,1,0,4543,6
19,80,197,1,0,3720,5
56,232,203,1,0,4651,3
15,57,177,1,0,3240,2
37,167,153,1,0,4120,3
52,55,161,1,0,4075,5
18,204,176,1,0,3748,3
31,106,158,1,0,3227,5
29,236,185,1,0,2935,6
54,86,202,1,0,3391,5
65,230,160,1,0,4662,3
64,120,180,1,0,3490,5
15,210,160,1,0,3857,6
29,237,199,1,0,3140,6
24,68,197,1,0,3047,3
20,179,159,1,0,4838,3
53,99,189,1,0,2185,6
41,219,171,1,0,2150,5
68,54,201,1,0,3614,2
58,174,179,1,0,3543,4
37,106,177,1,0,4300,6
19,100,199,1,0,3385,4
29,191,190,1,0,4027,3
34,218,203,1,0,3765,4
38,217,171,1,0,3429,2
43,239,204,1,0,3181,3
54,134,185,1,0,2841,2
15,106,177,1,0,4647,6
39,99,197,1,0,3839,6
22,54,183,1,0,4129,6
37,100,191,1,0,2955,3
47,250,158,1,0,2394,2
36,186,201,1,0,4067,5
38,151,159,1,0,4553,4
65,198,157,1,0,3778,4
45,126,161,1,0,4265,3
40,249,173,1,0,3388,5
37,214,166,1,0,2858,6
61,101,153,1,0,3426,3
15,219,164,1,0,2475,3
37,185,159,1,0,4915,4
31,93,159,1,0,4705,5
33,138,165,1,0,2279,2
23,98,178,1,0,3644,3
48,115,184,1,0,4071,6
46,210,183,1,0,3056,5
65,217,198,1,0,2092,4
29,229,162,1,0,3008,4
40,232,193,1,0,4101,4
53,99,159,1,0,4480,5
67,148,188,1,0,3121,3
42,69,201,1,0,2406,5
46,233,201,1,0,3587,6
37,68,166,1,0,3271,2
16,151,181,1,0,3612,5
57,207,154,1,0,3844,6
39,151,208,1,0,3922,6
40,91,185,1,0,2224,5
24,160,163,1,0,4522,3
61,220,167,1,0,2951,5
58,63,158,1,0,3808,6
63,110,183,1,0,4935,6
66,59,181,1,0,2223,6
55,245,189,1,0,4385,6
15,235,179,1,0,2233,4
34,216,154,1,0,2577,4
69,236,184,1,0,2628,3
42,99,153,1,0,2887,6
28,178,186,1,0,2033,5
68,57,200,1,0,4674,2
35,168,171,1,0,2233,3
30,214,173,1,0,2945,2
27,88,199,1,0,3947,3
21,170,188,1,0,2391,6
27,132,175,1,0,3632,3
17,188,188,1,0,4011,5
46,90,176,1,0,2312,5
41,213,167,1,0,4002,3
17,94,172,1,0,3246,6
31,216,166,1,0,4576,5
26,243,202,1,0,4438,6
53,230,190,1,0,4317,4
41,98,165,1,0,4069,3
68,188,199,1,0,4743,4
17,108,167,1,0,2075,5
17,143,193,1,0,2584,4
58,65,157,1,0,4987,4
23,173,174,1,0,3601,4
26,127,196,1,0,3359,5
64,184,194,1,0,4125,6
59,207,174,1,0,2184,4
28,247,158,1,0,3684,6
30,71,187,1,0,4331,4
24,116,176,1,0,4654,2
47,203,201,1,0,2777,2
70,194,182,1,0,2917,5
59,217,163,1,0,2757,5
48,133,206,1,0,2014,4
37,102,186,1,0,4053,4
61,83,153,1,0,4183,3
62,104,198,1,0,2510,3
24,185,168,1,0,3241,3
43,133,193,1,0,2048,4
18,237,155,1,0,1996,2
26,111,156,1,0,2476,5
38,240,191,1,0,4920,3
54,120,164,1,0,2201,3
52,101,193,1,0,3691,2
26,186,191,1,0,3427,6
19,224,187,1,0,3553,4
59,163,177,1,0,2430,3
24,76,154,1,0,3091,6
40,164,153,1,0,3011,2
30,189,155,1,0,3766,6
32,137,206,1,0,3161,2
28,55,205,1,0,4745,4
27,136,150,1,0,2962,4
18,123,193,1,0,4561,5
27,218,199,1,0,3892,6
35,83,203,1,0,3268,3
33,164,208,1,0,3269,3
62,155,166,1,0,2364,3
26,87,159,1,0,3576,3
49,141,182,1,0,2839,6
59,233,192,1,0,2039,5
19,185,200,1,0,2598,6
19,162,179,1,0,3945,3
39,224,189,1,0,2380,2
46,87,188,1,0,4760,2
44,148,157,1,0,4779,4
15,226,189,1,0,2996,2
17,92,166,1,0,4112,4
41,55,208,1,0,2298,5
51,174,201,1,0,3409,3
51,132,194,1,0,2850,2
65,239,185,1,0,2568,3
19,70,188,1,0,4641,4
46,171,168,1,0,3510,3
50,240,172,1,0,4552,2
23,152,171,1,0,4318,4
33,205,161,1,0,2247,2
39,216,172,1,0,2635,2
31,136,199,1,0,3403,3
65,118,184,1,0,3341,2
51,129,183,1,0,2892,3
25,158,209,1,0,4955,3
27,173,154,1,0,4452,4
