age,poids,taille,sexe,type_regime,kcal_cible,nb_repas_cible
26,213,169,1,0,3793,3
33,207,168,1,0,2687,4
15,159,190,1,0,3327,6
50,214,193,1,0,4923,5
23,100,201,1,0,2972,4
66,176,208,1,0,4932,2
54,214,192,1,0,3622,4
62,151,159,1,0,2327,4
37,173,181,1,0,4232,6
31,199,158,1,0,4881,2
46,190,192,1,0,2421,2
36,106,195,1,0,3231,6
25,181,166,1,0,1991,3
44,129,188,1,0,4347,3
33,177,197,1,0,3719,4
22,54,206,1,0,3071,3
34,129,204,1,0,1997,5
67,82,175,1,0,2443,6
46,95,210,1,0,3836,6
34,226,178,1,0,4985,6
63,93,203,1,0,2693,6
57,179,193,1,0,3271,5
45,138,178,1,0,3258,2
69,75,180,1,0,4466,4
32,71,203,1,0,2402,5
28,227,166,1,0,3987,3
26,62,193,1,0,4716,4
51,92,207,1,0,3880,3
54,83,183,1,0,2299,5
66,73,193,1,0,2222,3
47,213,172,1,0,2609,5
67,155,202,1,0,4339,3
56,160,177,1,0,4301,2
50,156,152,1,0,4210,6
35,244,162,1,0,4377,5
16,127,160,1,0,4923,3
70,208,193,1,0,4656,5
32,132,194,1,0,3983,5
62,208,209,1,0,4649,4
66,88,177,1,0,3094,2
18,230,191,1,0,4821,5
21,187,169,1,0,2855,6
42,88,184,1,0,3842,3
55,145,197,1,0,3342,2
44,133,173,1,0,3941,2
22,173,178,1,0,2146,3
47,175,156,1,0,4797,4
23,75,199,1,0,4291,3
46,118,161,1,0,2684,5
43,113,159,1,0,3810,4
25,162,199,1,0,3367,6
23,174,164,1,0,3616,5
27,77,166,1,0,3578,3
36,75,175,1,0,4795,4
69,106,181,1,0,4715,5
56,53,156,1,0,3356,3
29,161,202,1,0,2382,2
40,205,180,1,0,2886,3
43,54,179,1,0,4186,4
37,185,164,1,0,4210,4
40,107,190,1,0,2201,4
44,185,207,1,0,2644,4
45,57,162,1,0,2612,4
62,243,152,1,0,3297,5
21,151,206,1,0,2199,3
54,229,169,1,0,2006,4
34,95,199,1,0,2202,3
25,171,188,1,0,4345,5
48,219,188,1,0,3589,5
41,246,150,1,0,3878,2
28,105,181,1,0,3069,6
65,83,200,1,0,3400,2
48,112,195,1,0,2324,6
70,119,206,1,0,4885,4
19,249,168,1,0,2731,4
55,120,192,1,0,4525,6
70,229,180,1,0,3445,6
53,84,150,1,0,4421,4
68,95,194,1,0,3463,4
60,164,192,1,0,3146,5
25,145,182,1,0,3002,6
50,78,180,1,0,4936,6
69,233,210,1,0,4431,5
51,164,171,1,0,3813,6
55,165,163,1,0,3115,6
40,162,193,1,0,2963,6
30,157,174,1,0,2469,3
23,174,175,1,0,2481,5
19,56,160,1,0,4984,5
58,190,166,1,0,2408,5
29,75,193,1,0,3561,3
53,88,177,1,0,3130,5
33,217,210,1,0,1982,3
39,114,182,1,0,3357,4
28,92,185,1,0,4128,5
34,180,208,1,0,2401,2
20,227,155,1,0,3919,2
48,72,176,1,0,2013,3
28,238,151,1,0,3185,3
32,74,172,1,0,4350,5
58,139,194,1,0,4217,6
62,84,156,1,0,2213,5
60,81,185,1,0,3033,4
35,152,188,1,0,2330,2
47,245,206,1,0,3859,2
32,148,184,1,0,2485,3
64,63,192,1,0,2033,3
17,82,155,1,0,2374,2
30,226,199,1,0,3861,5
63,71,163,1,0,4060,6
20,104,200,1,0,3233,3
23,101,205,1,0,3121,2
51,216,191,1,0,2231,3
64,188,202,1,0,3901,5
69,141,171,1,0,3958,6
38,80,199,1,0,4795,5
56,173,192,1,0,2894,6
51,89,206,1,0,3534,6
49,243,199,1,0,3377,5
66,200,202,1,0,2689,2
53,207,154,1,0,4907,3
23,150,193,1,0,4971,6
66,65,174,1,0,3106,5
27,153,203,1,0,2769,3
18,133,201,1,0,4440,5
28,122,175,1,0,2289,2
59,134,166,1,0,3486,4
22,140,154,1,0,3287,5
49,91,189,1,0,2707,2
42,167,166,1,0,2261,4
16,100,174,1,0,2649,3
69,97,207,1,0,2017,2
19,124,199,1,0,2532,5
34,96,178,1,0,4748,6
25,193,189,1,0,3036,2
29,159,158,1,0,2139,4
33,245,202,1,0,2572,2
36,157,184,1,0,3207,3
33,239,156,1,0,4187,6
64,83,153,1,0,4121,4
52,94,207,1,0,3481,2
59,239,172,1,0,3493,2
58,246,177,1,0,3689,2
32,148,191,1,0,4543,6
60,126,157,1,0,4875,4
30,125,210,1,0,4045,2
45,193,200,1,0,3473,4
34,179,160,1,0,3325,3
45,135,174,1,0,2509,5
57,221,172,1,0,2653,2
27,59,156,1,0,2045,4
32,194,167,1,0,3361,4
70,155,169,1,0,2950,6
40,63,186,1,0,3365,5
21,61,166,1,0,2811,5
19,204,154,1,0,3184,2
65,145,161,1,0,4377,4
