"Groupe d'aliment","Sous-groupe d'aliment","Changement climatique (kg CO2 eq/kg de produit) - Agriculture","Changement climatique (kg CO2 eq/kg de produit) - Transformation","Changement climatique (kg CO2 eq/kg de produit) - Emballage","Changement climatique (kg CO2 eq/kg de produit) - Transport","Changement climatique (kg CO2 eq/kg de produit) - Supermarché et distribution","Changement climatique (kg CO2 eq/kg de produit) - Consommation","Score unique EF (mPt / kg de produit) - Agriculture","Score unique EF (mPt / kg de produit) - Transformation","Score unique EF (mPt / kg de produit) - Emballage","Score unique EF (mPt / kg de produit) - Transport","Score unique EF (mPt / kg de produit) - Supermarché et distribution","Score unique EF (mPt / kg de produit) - Consommation"
"lait et produits laitiers","fromages",5.3279117,0.36960883,0.26662691,0.26516523,0.029050683,0.0047993021,0.47067906,0.046274272000000005,0.019721226,0.020614588,0.0088270864,0.0024293397
"fruits, légumes, légumineuses et oléagineux","fruits",0.18831471,0.16613707,0.35015645,0.22533617,0.051200154,0.23997673,0.06129718299999999,0.075214607,0.034667415,0.0175149,0.016503721,0.010168672
"fruits, légumes, légumineuses et oléagineux","fruits",0.11750838,0.10366953,0.21849763,0.14060977,0.031948896,0,0.038249442,0.046933915,0.021632467,0.010929298,0.010298321999999999,0
"fruits, légumes, légumineuses et oléagineux","fruits",0.18831471,0.16613707,0.35015645,0.22533617,0.051200154,0.23997673,0.06129718299999999,0.075214607,0.034667415,0.0175149,0.016503721,0.010168672
"fruits, légumes, légumineuses et oléagineux","fruits",0.11750838,0.10366953,0.21849763,0.14060977,0.031948896,0,0.038249442,0.046933915,0.021632467,0.010929298,0.010298321999999999,0
"fruits, légumes, légumineuses et oléagineux","fruits",0.18771307,0,0.35727452,0.17724117,0.03993612,0.099564814,0.061101345999999994,0,0.02694798,0.013787859,0.012872902,0.0042189169
"fruits, légumes, légumineuses et oléagineux","fruits",1.1168928,0.80366333,0.28581962,0.40126279,0.045995843,0,0.36355300999999995,0.36250469,0.021558384,0.034366799,0.01518421,0
"viandes, œufs, poissons","produits à base de poissons et produits de la mer",4.1345091,0.14559647,0.29058882,0.58629458,0.030685111,0.066566382,0.7654721800000001,0.033077694,0.017847322000000002,0.04824737,0.0089786658,0.033694973
"aides culinaires et ingrédients divers","algues",4.9316244,1.0677105,0.2946594,0.21146804,0.030021296,0.012317297,0.66759478,0.5325735899999999,0.022225138,0.019453818999999997,0.010205208,0.00052192787
"viandes, œufs, poissons","viandes cuites",61.710579,0.079547374,0.45547623,0.31425045,0.047859533,0.19512145,5.9765795,0.013313121,0.027925225,0.02413391,0.014122822,0.04043131
